d,c,w,CA/FA ,Dmax,ratio of aggregate to binder,BFS,fly ash,Silicon,superplasticizer,age,w/b,fc
100,300,126,1.83,25,2.83,0,40,10,12,28,0.21,97.5281
150,210,105,1.44,16,5.76,40,0,0,8.75,7,0.3,64.2
100,340,184,1.86,20,5.52,0,0,0,0,28,0.54,35.7
150,175,238,1.52,19,4.11,56,0,0,0,14,0.6,20.1
150,400,112,1.86,25,3.57,20,0,0,6,3,0.22,45.2
150,70,175,1.44,16,5.19,80,0,0,0,360,0.5,39.1
150,350,105,1.86,25,3.57,0,30,0,6,7,0.21,41.4
150,320,240,1.23,16,4.06,0,0,20,1.63,3,0.6,21.8
250,91.51,108,2.7,80,11.69,50,0,0,2.2,28,0.59,20.66
150,175,209,1.52,19,11.05,0,0,0,0,180,1.19,14.5
100,235,175,1.61,31.5,5.44,0,30,0,5.6,180,0.52,42.5
150,406,162,1.63,20,2.86,0,20,10,6.72,3,0.28,53
150,350,140,1.44,16,5.54,0,0,0,5.25,7,0.4,54.8
100,308.93,185.41,1.44,31.5,4.26,0,24,0,9.27,90,0.45,50.1
150,382.5,225,1.23,16,3.6,0,0,15,2.2,180,0.5,59.5
150,280,278,1.52,19,2.06,56,0,0,0,119,0.43,59.9
100,131.4,153.3,1.44,25,3.98,50,20,0,2.628,28,0.35,55.7
100,236,172,1.35,12.5,3.75,50,0,0,0.75,3,0.36,23.3
150,360,195,1.35,20,4.05,0,16,0,0,114,0.45,50
100,400,136,2,10,4.5,0,0,0,5.6,28,0.34,62.66
100,360,126,1.83,25,2.83,0,30,10,12,7,0.21,74.6773
150,70,105,1.44,16,5.71,80,0,0,5.6,28,0.3,62.7
100,502,190,1.5,25,3.5,0,0,0,2,7,0.38,54.05
100,447.45,164.85,1.38,25,3.81,0,0,5,5.181,90,0.35,78.7
100,285,175,1.55,31.5,4.55,9,21,0,6.6,7,0.43,32.8
150,160,160,1.44,16,4.55,60,0,0,2.4,3,0.4,26
100,360,126,1.83,25,2.83,30,0,10,12,56,0.21,103.441
100,300,188,1.43,31.5,6.23,0,0,0,5.1,28,0.63,33.6
100,270,178,2.04,31.5,3.79,0,40,0,7.6,28,0.4,43.3
150,300,225,1.52,19,5.94,0,0,0,0,365,0.75,33.1
200,128.11,108,2.7,40,11.69,30,0,0,2.2,28,0.59,24.38
150,320,120,1.23,16,4.86,0,0,20,22.76,28,0.3,94
200,183.05,108,2.7,80,11.69,0,0,0,2.2,28,0.59,23.01
100,235,178,1.46,31.5,6.39,10,10,0,4.9,7,0.6,19.5
200,161.2,108,2.57,80,13.4,0,0,0,1.95,28,0.67,17.36
100,251,190,1.5,25,3.5,0,50,0,2,7,0.38,45.9
100,300,188,1.43,31.5,6.23,0,0,0,5.1,14,0.63,27.8
